3,71730
7,34467031
10,19161852
12,13152847
15,35097384
17,836610
19,25899336
20,26114127
21,18245960
25,46164
26,27833614
28,255127
29,28251002
30,23168277
31,32075825
34,31580409
35,133394
37,16130
38,30139664
39,32191710
41,45252
42,32283423
43,43615
49,5526
51,5043
52,13543159
53,18667753
55,8138071
56,7268003
57,125466
58,31138556
63,27523
64,20821043
66,428263
68,6480781
71,29430012
72,29570143
74,210817
75,10893214
78,33282947
79,18775365
80,11387515
81,30211956
82,31823677
84,10884
88,641601
92,22320
93,22750073
98,25814544
99,17554595
100,16981
101,30334134
104,29584452
105,27161156
108,32283133
109,11830394
110,26118426
111,18423
113,33571713
115,159760
117,28119237
119,22543496
121,13622134
122,25897720
123,13588356
124,29058155
125,984021
126,186074
127,6562380
128,17288661
129,28363972
130,64222
133,30282601
134,27003
138,15839976
139,25884323
141,25666050
143,18693910
144,759945
145,25614523
148,7015635
149,315425
150,6334
152,166997
153,19398490
154,17563539
155,139069
156,18170143
157,10335318
158,19322250
160,23310161
161,22609522
164,22875447
165,18736925
166,68143
170,76852
171,4866
172,23158207
174,22034
175,4191136
176,22318578
178,24189224
179,51291
182,15704307
183,22551730
186,22816087
188,92364
189,7562764
190,908296
192,17333324
194,23395719
195,685401
197,22557272
198,143999
199,9151181
201,17910054
203,6547865
204,25019
205,102030
206,10872085
207,18144124
208,23014006
209,50365
211,11093329
218,6882
220,21413662
221,87985
223,18176747
224,21856367
225,12111823
226,5577844
227,21792828
228,18050143
229,16304
230,20897517
231,19816540
232,18667945
233,17855756
234,17306293
235,16158596
236,18214414
237,18505802
238,161789
239,3621358
241,6902644
243,12961964
245,11012
247,318431
251,17860739
252,20604826
254,1027760
255,17333223
257,5064
258,6658783
259,231850
260,13642
261,17262366
262,114737
263,19404862
266,18886735
267,8684868
269,7132363
270,8423493
271,460548
272,18659415
273,18774020
274,17208457
277,146274
278,17349201
279,17557750
281,13722902
283,10281556
284,17660462
285,31196
288,16171221
289,77507
290,4948
293,48019
294,6759
295,767171
297,8908
298,18656827
299,61886
300,15803037
301,16160797
304,13330922
307,13526165
310,99219
313,809849
315,143718
316,2819368
317,16071764
319,15801967
320,6486483
322,3977
323,13531802
324,19809
325,17212231
328,13588394
329,773858
331,180116
332,13453029
334,11869272
337,45546
338,18765
340,6411016
353,87976
359,93180
360,7954936
361,77565
365,6289283
368,9844623
369,11468377
370,13538873
372,13163846
373,6242611
374,6257535
375,92160
376,159178
377,12953520
378,13239822
380,13414676
381,9850443
382,13425570
383,7315573
384,23772
385,12963396
387,12609433
388,13187824
389,24113
391,375711
392,11223478
393,11910905
394,12030438
397,2632830
399,10673579
400,19321
401,739484
404,488908
406,28815
407,10644930
410,8664353
411,7632329
412,8520610
413,12727969
415,11297044
416,10127019
417,9418327
418,16121
419,3973
420,6987584
421,12567957
422,10631
423,1852
424,588138
425,10256723
427,10572
428,130580
429,975
430,62291
431,43691
432,295961
433,175675
434,10723236
436,21484
438,370493
439,8127
440,569564
441,3590
442,99107
