847645,1015352,1,4,0
847645,234163,0,0,0
847645,30066,0,0,0
847645,252475,0,0,0
847645,643522,1,3,0
847645,29970,1,4,0
847646,7436,1,3,1
847647,242040,0,0,0
847647,248200,0,0,0
847647,910379,1,5,0
847647,720229,1,5,1
847647,211961,1,5,0
847647,16078,0,0,0
847647,12353,0,0,0
847648,14872,1,5,0
847648,821,1,4,0
847649,536,1,5,0
847649,545,1,4,0
847649,55292,1,5,0
847650,238005,0,0,0
847650,1348619,1,4,0
847653,21251,1,2,0
847653,331506,1,2,0
847653,18103,1,4,0
847655,8001,1,5,0
847655,68369,1,0,0
847657,27995,0,0,0
847657,7974,0,0,0
847657,19445,0,0,0
847657,56951,0,0,0
847657,6969,0,0,0
847657,31835,0,0,0
847657,35654,0,0,0
847657,41899,0,0,0
847661,14546,1,4,0
847661,1594,1,4,0
847661,26637,0,0,0
847662,46897,1,0,0
847663,202221,0,0,0
847663,353925,0,0,0
847664,12923,0,0,0
847664,6544,1,5,0
847664,1117,1,2,0
847664,18370,0,0,0
847664,39866,0,0,0
847664,37351,1,3,0
847665,2358483,1,4,1
847667,37214,1,2,0
847667,20540,1,4,0
847667,8400,1,4,0
847668,1605,1,5,1
847668,5377,0,0,0
847669,837,0,0,0
847669,6716,0,0,0
847669,536,1,5,1
847669,858,1,4,0
847669,6194,0,0,0
847669,1528,0,0,0
847669,638,0,0,0
847669,41016,0,0,0
847670,7505,1,2,0
847670,5239,1,4,0
847670,1387,1,4,0
847671,28673,1,5,0
847675,17175,1,5,0
847676,317,1,5,0
847678,3603,0,0,0
847678,609,1,5,0
847678,25193,1,5,0
847678,139506,1,5,0
847678,12894,0,0,0
847679,34893,1,2,0
847679,70191,1,4,0
847681,1616250,1,2,0
847682,13520,1,4,0
847682,1011,1,1,0
847682,1404,1,4,0
847682,1008,1,4,1
847682,1539,1,5,1
847682,14867,1,4,1
847683,17631,1,5,0
847683,8403,1,3,0
847684,144,0,0,0
847686,872413,1,4,0
847693,8001,0,0,0
847693,270148,1,5,0
847693,39868,0,0,0
847697,51905,1,3,0
847698,82495,1,3,0
847699,21164,0,0,0
847699,1013,1,5,0
847700,13320,1,5,0
847700,91008,0,0,0
847700,102021,0,0,0
847700,3415,1,4,0
847700,94048,0,0,0
847700,193339,0,0,0
847700,8271,1,5,0
847702,536,1,4,0
847702,4477,1,2,0
847702,99697,1,4,0
847710,1572,1,3,0
847710,30017,1,3,0
847710,14829,0,0,0
847711,236,0,0,0
847711,33305,1,4,0
847711,113219,1,4,0
847712,119,1,5,0
847712,845,1,5,0
847713,6970,1,5,0
847713,183831,0,0,0
847713,1473,0,0,0
847714,1605,1,4,0
847714,7049,1,4,0
847714,1504,0,0,0
847715,94872,0,0,0
847715,20975,0,0,0
847715,121023,1,5,0
847715,24952,1,5,0
847716,197,1,5,0
847716,18644,1,2,0
847717,148415,1,0,0
847723,7940,1,5,0
847723,17720,0,0,0
847723,669,1,5,0
847723,132183,1,4,0
847723,132185,1,4,0
847723,132187,0,0,0
847724,892,0,0,0
847726,1299,1,4,0
847726,250093,1,4,0
847727,236,1,5,0
847728,1628,0,0,0
847728,524,0,0,0
847728,1218,0,0,0
847728,20658,1,5,0
847730,35429,1,5,0
847730,58994,0,0,0
847734,14859,1,1,0
847734,7955,1,1,0
847734,792,1,5,0
847737,1088,0,0,0
847737,338212,1,0,0
847738,116456,1,5,0
847740,106650,1,5,0
847740,157871,0,0,0
847741,265312,1,5,0
847742,410,1,3,0
847745,386253,1,4,0
847745,370012,1,4,0
847748,40879,1,5,0
847750,1877790,0,0,0
847751,7977,1,2,0
847756,14804,1,5,0
847756,14662,0,0,0
847756,17644,0,0,0
847757,1080,1,5,0
847757,7898,1,3,0
847757,463679,1,0,0
847757,66758,0,0,0
847759,715776,1,4,0
847760,943,0,0,0
847760,41906,0,0,0
847760,39882,0,0,0
847762,772,1,5,0
847764,8000,0,0,0
847764,57109,0,0,0
847765,706,0,0,0
847765,6990,0,0,0
847765,7973,0,0,0
847765,13321,1,3,0
847769,524,1,4,0
847769,7107,1,4,0
847770,132202,0,0,0
847771,311392,1,5,0
847772,86050,1,5,0
847773,683,1,5,0
847773,1125,1,4,0
847776,281169,1,4,0
847776,563556,1,5,0
