58848,138826,1,0,0
58851,58993,0,0,0
58853,12706,1,4,0
58854,968,0,0,0
58860,108718,1,4,1
58870,179250,1,5,0
58875,7071,1,4,0
58875,89843,1,4,0
58875,12878,1,4,0
58881,6475,0,0,0
58894,147441,0,0,0
58894,672304,0,0,0
58897,40697,1,5,0
58897,261605,1,3,0
58908,54431,0,0,0
58911,456462,0,0,0
58911,1160596,0,0,0
58911,305236,0,0,0
58911,108891,0,0,0
58913,6807,0,0,1
58913,128527,1,5,0
58914,23369,1,1,1
58917,339453,1,2,0
58917,21397,0,0,0
58918,52032,1,4,0
58919,1545,0,0,0
58920,273840,0,0,0
58922,24926,1,3,0
58924,1000,1,2,0
58929,23360,1,5,1
58931,772992,1,3,0
58935,46257,1,4,0
58940,936447,0,0,0
58945,905135,1,4,0
58947,22313,0,0,0
58950,7348,0,0,0
58955,19774,1,4,0
58957,941,0,0,0
58958,121297,1,4,1
58959,19691,1,4,0
58960,71673,1,4,1
58964,4889,1,4,0
58971,6404,1,4,0
58979,1191,0,0,0
58979,7972,1,5,0
58981,271720,0,0,0
58981,3000,0,0,0
58981,4218,0,0,0
58985,969282,0,0,0
58985,26232,0,0,0
58989,43851,0,0,0
58989,387249,1,4,1
58989,12543,1,4,1
58991,13410,1,4,0
58993,257141,0,0,0
58994,124091,0,0,0
58998,468,0,0,0
58999,626716,1,4,0
59000,180240,1,4,0
59001,1396,0,0,0
59003,125951,0,0,0
59005,1126663,0,0,0
59005,4279,0,0,0
59006,16308,0,0,0
59006,8448,1,4,0
59007,299862,1,4,1
59008,7943,1,3,0
59008,12922,1,3,0
59011,1347,0,0,0
59012,14741,0,0,0
59013,19426,0,0,0
59015,1062668,0,0,0
59027,824206,1,2,0
59028,461186,1,4,0
59029,11487,1,4,0
59031,759,1,5,0
59035,32592,1,5,0
59040,65129,0,0,0
59043,506703,0,0,0
59043,314481,1,0,0
59044,23627,0,0,0
59044,197925,0,0,0
59044,420858,0,0,0
59044,314924,1,5,1
59044,181659,1,5,1
59050,198230,1,3,0
59064,1196,1,5,0
59073,21822,1,3,0
59075,688124,1,0,0
59077,330952,1,4,0
59080,115310,1,4,0
59080,129487,0,0,0
59081,132479,0,0,0
59085,1427793,0,0,0
59089,47273,1,4,0
59089,47269,1,3,0
59089,32046,0,0,0
59089,1526096,1,2,1
59089,153895,0,0,0
59089,1578,0,0,0
59089,1526055,0,0,0
59089,418826,0,0,0
59089,241928,0,0,0
59089,110858,1,2,1
59091,615461,0,0,0
59093,1053,1,3,0
59094,76358,0,0,0
59097,72396,0,0,0
59097,98680,1,3,0
59097,142770,0,0,0
59107,150384,0,0,0
59109,82895,0,0,0
59113,23322,0,0,0
59113,40990,0,0,0
59115,858,1,4,0
59128,11900,0,0,0
59129,1061614,1,3,1
59129,68424,0,0,0
59129,1526324,1,3,0
59138,578,1,2,0
59145,1713,0,0,0
