book_id_csv,genres
6063,"fantasy, paranormal"
39930,"fantasy, paranormal"
98198,"history, historical fiction, biography"
141390,"fantasy, paranormal"
166104,non-fiction
6534,"fantasy, paranormal"
79999,young-adult
58561,"mystery, thriller, crime"
193327,"history, historical fiction, biography"
109995,romance
17431,"fantasy, paranormal"
44630,romance
27926,romance
58813,"fantasy, paranormal"
354992,romance
99459,young-adult
63751,"comics, graphic"
84903,"fantasy, paranormal"
32575,romance
4607,"fantasy, paranormal"
38711,"mystery, thriller, crime"
386268,"fantasy, paranormal"
130973,young-adult
169852,non-fiction
17006,"mystery, thriller, crime"
339501,"comics, graphic"
87881,"comics, graphic"
21827,young-adult
21493,children
21495,children
403827,non-fiction
149126,romance
98476,"fantasy, paranormal"
56710,"history, historical fiction, biography"
214177,romance
56519,"comics, graphic"
341112,"comics, graphic"
6527,"fantasy, paranormal"
27241,young-adult
4328,"fantasy, paranormal"
25564,romance
44835,romance
55280,"mystery, thriller, crime"
51876,"history, historical fiction, biography"
33745,non-fiction
112017,young-adult
45225,romance
373267,children
174891,"fantasy, paranormal"
83597,romance
21060,"comics, graphic"
44281,romance
35324,non-fiction
520271,"fantasy, paranormal"
69163,"history, historical fiction, biography"
15123,"mystery, thriller, crime"
178342,"comics, graphic"
86576,"mystery, thriller, crime"
115263,"fantasy, paranormal"
155978,children
233586,romance
308024,non-fiction
100001,"fantasy, paranormal"
85493,non-fiction
54611,"mystery, thriller, crime"
324517,"history, historical fiction, biography"
321769,"history, historical fiction, biography"
26267,young-adult
108224,children
108506,"mystery, thriller, crime"
20411,"history, historical fiction, biography"
5258,"fantasy, paranormal"
22093,non-fiction
110918,"fantasy, paranormal"
287710,"mystery, thriller, crime"
136213,"mystery, thriller, crime"
22587,"history, historical fiction, biography"
535248,non-fiction
102186,young-adult
32124,non-fiction
5374,young-adult
40608,non-fiction
11696,romance
21091,young-adult
86762,"history, historical fiction, biography"
170490,non-fiction
7464,"fantasy, paranormal"
264084,"fantasy, paranormal"
243606,young-adult
212328,young-adult
966,"history, historical fiction, biography"
30184,"mystery, thriller, crime"
7989,"fantasy, paranormal"
138628,romance
2158,"fantasy, paranormal"
18650,young-adult
167257,"history, historical fiction, biography"
4394,"fantasy, paranormal"
23065,romance
140338,"comics, graphic"
55173,"mystery, thriller, crime"
4413,"fantasy, paranormal"
101532,"history, historical fiction, biography"
96070,romance
39586,romance
18767,"comics, graphic"
552803,non-fiction
50989,young-adult
48872,"history, historical fiction, biography"
10664,romance
29803,romance
62482,romance
1699,young-adult
50440,young-adult
118871,young-adult
104890,"fantasy, paranormal"
73284,children
236912,romance
93126,"fantasy, paranormal"
39054,non-fiction
311377,"comics, graphic"
5034,romance
37652,"comics, graphic"
78435,poetry
14000,non-fiction
11078,romance
92310,"fantasy, paranormal"
250300,"mystery, thriller, crime"
135777,"fantasy, paranormal"
82547,"mystery, thriller, crime"
2359,romance
30065,"comics, graphic"
79725,"fantasy, paranormal"
292484,"fantasy, paranormal"
112185,"mystery, thriller, crime"
62428,"history, historical fiction, biography"
79920,young-adult
112293,romance
168160,"fantasy, paranormal"
223198,"mystery, thriller, crime"
1297,"history, historical fiction, biography"
56390,"fantasy, paranormal"
50757,"fantasy, paranormal"
60068,"mystery, thriller, crime"
41897,young-adult
50352,"comics, graphic"
35699,"fantasy, paranormal"
10126,romance
66576,"history, historical fiction, biography"
301156,"fantasy, paranormal"
41873,young-adult
132029,"fantasy, paranormal"
40435,non-fiction
404130,non-fiction
91475,romance
9527,romance
503690,fiction
117828,"history, historical fiction, biography"
108382,"mystery, thriller, crime"
221266,"fantasy, paranormal"
349703,"history, historical fiction, biography"
37075,romance
131225,non-fiction
251610,romance
172676,"mystery, thriller, crime"
73542,children
74130,non-fiction
87690,"comics, graphic"
43072,romance
45183,romance
40947,"comics, graphic"
50880,"fantasy, paranormal"
7308,"mystery, thriller, crime"
208012,romance
77447,"fantasy, paranormal"
75132,young-adult
46565,"fantasy, paranormal"
7359,"mystery, thriller, crime"
8271,"comics, graphic"
4527,"fantasy, paranormal"
26606,romance
21089,young-adult
264593,young-adult
111345,"mystery, thriller, crime"
52156,"fantasy, paranormal"
46926,"mystery, thriller, crime"
62569,"history, historical fiction, biography"
59746,children
457646,"fantasy, paranormal"
16825,"history, historical fiction, biography"
45951,"comics, graphic"
62766,romance
75334,"fantasy, paranormal"
4469,"fantasy, paranormal"
22236,"fantasy, paranormal"
279411,"comics, graphic"
83501,"fantasy, paranormal"
51937,"fantasy, paranormal"
41772,"fantasy, paranormal"
94259,"fantasy, paranormal"
47590,"mystery, thriller, crime"
116788,romance
210070,non-fiction
460179,children
291265,romance
219962,"fantasy, paranormal"
30167,romance
22296,"fantasy, paranormal"
18796,"mystery, thriller, crime"
41641,"mystery, thriller, crime"
322412,"mystery, thriller, crime"
150903,"mystery, thriller, crime"
47051,"history, historical fiction, biography"
55295,"comics, graphic"
293392,"fantasy, paranormal"
118611,"fantasy, paranormal"
100281,"fantasy, paranormal"
100536,"fantasy, paranormal"
70612,"history, historical fiction, biography"
159074,"mystery, thriller, crime"
464890,"mystery, thriller, crime"
5957,"fantasy, paranormal"
107667,"fantasy, paranormal"
288302,"fantasy, paranormal"
68360,"history, historical fiction, biography"
49729,"fantasy, paranormal"
1563,"mystery, thriller, crime"
