book_id_csv,genres
28897,"history, historical fiction, biography"
94309,"fantasy, paranormal"
104857,"fantasy, paranormal"
281830,"comics, graphic"
39300,"fantasy, paranormal"
7361,"mystery, thriller, crime"
522974,children
21652,young-adult
13850,non-fiction
237168,"mystery, thriller, crime"
39715,non-fiction
193168,children
63128,young-adult
5109,"fantasy, paranormal"
158650,"fantasy, paranormal"
236376,"fantasy, paranormal"
42576,"history, historical fiction, biography"
3431,"fantasy, paranormal"
69021,"mystery, thriller, crime"
80667,fiction
176344,romance
46999,children
38286,romance
61061,"fantasy, paranormal"
5054,"fantasy, paranormal"
5839,"fantasy, paranormal"
46388,"history, historical fiction, biography"
324867,"history, historical fiction, biography"
48770,"fantasy, paranormal"
251678,romance
4862,"fantasy, paranormal"
18053,romance
22068,non-fiction
83420,"fantasy, paranormal"
46527,"fantasy, paranormal"
165231,"history, historical fiction, biography"
21546,"fantasy, paranormal"
34117,"history, historical fiction, biography"
44057,romance
39926,"fantasy, paranormal"
70302,non-fiction
254857,young-adult
102966,"fantasy, paranormal"
39166,young-adult
19058,"history, historical fiction, biography"
64981,"mystery, thriller, crime"
96887,"comics, graphic"
59882,"comics, graphic"
286512,"fantasy, paranormal"
37233,"history, historical fiction, biography"
1423,"history, historical fiction, biography"
100925,"fantasy, paranormal"
22291,non-fiction
41647,"mystery, thriller, crime"
179416,romance
131424,poetry
46052,"comics, graphic"
281789,"comics, graphic"
62800,non-fiction
252858,romance
60324,"comics, graphic"
170558,"fantasy, paranormal"
30074,romance
252424,"mystery, thriller, crime"
6088,romance
190868,"comics, graphic"
115125,"fantasy, paranormal"
15157,"mystery, thriller, crime"
3328,"fantasy, paranormal"
27898,"mystery, thriller, crime"
257179,poetry
168753,"history, historical fiction, biography"
113295,"fantasy, paranormal"
96140,romance
90210,"fantasy, paranormal"
56166,"fantasy, paranormal"
5280,romance
30182,"mystery, thriller, crime"
112594,"fantasy, paranormal"
19722,"history, historical fiction, biography"
39688,romance
1428,non-fiction
38145,"mystery, thriller, crime"
1788,"fantasy, paranormal"
185573,romance
291908,"history, historical fiction, biography"
122490,"mystery, thriller, crime"
240088,children
13977,"fantasy, paranormal"
11776,romance
31793,"comics, graphic"
131789,romance
145455,romance
