book_id_csv,genres
234532,romance
4874,"fantasy, paranormal"
120808,"fantasy, paranormal"
248208,"fantasy, paranormal"
144660,"fantasy, paranormal"
264562,"fantasy, paranormal"
67062,"history, historical fiction, biography"
45019,"mystery, thriller, crime"
50170,romance
199633,"fantasy, paranormal"
7027,romance
44874,romance
167637,non-fiction
88797,"fantasy, paranormal"
16112,romance
29490,"fantasy, paranormal"
4125,young-adult
486726,"mystery, thriller, crime"
92304,"fantasy, paranormal"
22316,"mystery, thriller, crime"
129243,romance
13457,"history, historical fiction, biography"
146125,non-fiction
278059,young-adult
4789,"fantasy, paranormal"
89081,"fantasy, paranormal"
46392,"history, historical fiction, biography"
149834,"history, historical fiction, biography"
3350,young-adult
38889,non-fiction
155642,children
158961,non-fiction
94899,"history, historical fiction, biography"
61014,"fantasy, paranormal"
226780,fiction
25662,non-fiction
61935,"fantasy, paranormal"
5192,young-adult
30194,"mystery, thriller, crime"
51272,young-adult
111789,"fantasy, paranormal"
6602,"fantasy, paranormal"
23627,romance
22297,"fantasy, paranormal"
4774,young-adult
36889,young-adult
210458,romance
542858,"comics, graphic"
60614,"fantasy, paranormal"
41856,young-adult
14747,romance
48374,young-adult
157791,"mystery, thriller, crime"
104205,romance
117845,non-fiction
362616,"fantasy, paranormal"
2420,"fantasy, paranormal"
343515,children
5926,young-adult
170431,young-adult
47819,"fantasy, paranormal"
1464,non-fiction
122656,"fantasy, paranormal"
27977,"fantasy, paranormal"
91359,"mystery, thriller, crime"
126126,"mystery, thriller, crime"
83884,non-fiction
84629,romance
458456,"fantasy, paranormal"
96218,romance
11847,romance
567682,"comics, graphic"
183027,"fantasy, paranormal"
65529,non-fiction
23815,"fantasy, paranormal"
38332,non-fiction
97285,"fantasy, paranormal"
84667,"history, historical fiction, biography"
51177,"fantasy, paranormal"
9680,romance
58398,young-adult
46861,children
59652,"history, historical fiction, biography"
22011,"mystery, thriller, crime"
354942,"fantasy, paranormal"
58547,young-adult
2173,young-adult
67398,"history, historical fiction, biography"
85956,"fantasy, paranormal"
148228,non-fiction
147498,"fantasy, paranormal"
102441,non-fiction
19391,"fantasy, paranormal"
119039,romance
105476,children
42835,"mystery, thriller, crime"
47389,romance
223515,"comics, graphic"
36725,young-adult
364638,young-adult
50457,"fantasy, paranormal"
65813,"history, historical fiction, biography"
37663,"fantasy, paranormal"
39877,young-adult
15840,romance
1977,young-adult
82722,"fantasy, paranormal"
5740,"mystery, thriller, crime"
71044,"mystery, thriller, crime"
155474,children
16171,"fantasy, paranormal"
75117,non-fiction
120783,"fantasy, paranormal"
87992,"comics, graphic"
18806,"fantasy, paranormal"
88554,young-adult
392747,poetry
10266,romance
67868,"comics, graphic"
58666,"fantasy, paranormal"
26142,"comics, graphic"
209980,"fantasy, paranormal"
51614,"mystery, thriller, crime"
9714,romance
60962,romance
50229,non-fiction
17972,non-fiction
374659,"fantasy, paranormal"
103099,romance
19343,"history, historical fiction, biography"
147470,"mystery, thriller, crime"
124784,romance
60455,"comics, graphic"
34784,"mystery, thriller, crime"
118083,romance
104247,"history, historical fiction, biography"
52790,non-fiction
35436,"fantasy, paranormal"
291261,young-adult
3430,"fantasy, paranormal"
26,non-fiction
108509,"mystery, thriller, crime"
17587,non-fiction
182732,children
58669,"mystery, thriller, crime"
137038,romance
14785,non-fiction
136072,romance
23161,"history, historical fiction, biography"
69493,"comics, graphic"
262243,non-fiction
133221,young-adult
178759,non-fiction
172616,"fantasy, paranormal"
66301,young-adult
155767,"history, historical fiction, biography"
290255,"history, historical fiction, biography"
116936,"fantasy, paranormal"
36456,"mystery, thriller, crime"
48046,non-fiction
13258,"mystery, thriller, crime"
77357,children
415101,"mystery, thriller, crime"
31902,"history, historical fiction, biography"
46953,young-adult
19607,"mystery, thriller, crime"
108510,"mystery, thriller, crime"
389062,romance
234464,children
134353,romance
256918,"history, historical fiction, biography"
210570,children
307626,"mystery, thriller, crime"
5901,"fantasy, paranormal"
1062,"fantasy, paranormal"
214681,"fantasy, paranormal"
40105,romance
226697,non-fiction
28114,non-fiction
85447,"fantasy, paranormal"
135406,non-fiction
588,"fantasy, paranormal"
94200,"history, historical fiction, biography"
25851,"mystery, thriller, crime"
6954,"fantasy, paranormal"
77412,"fantasy, paranormal"
24410,"fantasy, paranormal"
98633,romance
104343,"history, historical fiction, biography"
16302,romance
113365,non-fiction
119277,"fantasy, paranormal"
245898,non-fiction
40879,non-fiction
22820,"history, historical fiction, biography"
157995,"mystery, thriller, crime"
86725,children
165587,romance
82559,young-adult
72260,"history, historical fiction, biography"
319177,"history, historical fiction, biography"
142089,non-fiction
105074,"fantasy, paranormal"
14854,romance
193301,"fantasy, paranormal"
238914,romance
6887,"fantasy, paranormal"
155061,children
787,children
33923,"history, historical fiction, biography"
150,"fantasy, paranormal"
277759,"fantasy, paranormal"
41264,non-fiction
85374,non-fiction
406574,romance
1484,non-fiction
449224,"mystery, thriller, crime"
336498,children
8166,children
39414,non-fiction
99230,romance
26211,"comics, graphic"
19902,romance
100855,"mystery, thriller, crime"
67053,non-fiction
48901,"fantasy, paranormal"
275574,"comics, graphic"
23760,children
78516,"fantasy, paranormal"
29343,romance
19570,"fantasy, paranormal"
217276,young-adult
126209,children
275581,"fantasy, paranormal"
39454,children
60392,"mystery, thriller, crime"
413296,"history, historical fiction, biography"
408983,"comics, graphic"
28456,"fantasy, paranormal"
162141,"mystery, thriller, crime"
379884,romance
276106,"mystery, thriller, crime"
125972,children
182758,"fantasy, paranormal"
692565,"history, historical fiction, biography"
38569,romance
166984,non-fiction
79242,non-fiction
100982,non-fiction
222785,"history, historical fiction, biography"
50810,"fantasy, paranormal"
8344,"mystery, thriller, crime"
102305,"history, historical fiction, biography"
132180,"history, historical fiction, biography"
147729,"history, historical fiction, biography"
36001,"comics, graphic"
21320,"comics, graphic"
39291,"fantasy, paranormal"
47215,"mystery, thriller, crime"
153450,non-fiction
42620,romance
117272,non-fiction
4875,"fantasy, paranormal"
588705,children
119602,children
89843,young-adult
99785,"fantasy, paranormal"
272996,"fantasy, paranormal"
41219,non-fiction
115495,children
97951,romance
339006,non-fiction
491289,children
17150,young-adult
64733,"history, historical fiction, biography"
85222,non-fiction
159265,"mystery, thriller, crime"
168002,"mystery, thriller, crime"
14960,"fantasy, paranormal"
41726,"fantasy, paranormal"
25796,"mystery, thriller, crime"
106461,"history, historical fiction, biography"
14441,"comics, graphic"
57951,"comics, graphic"
13882,"comics, graphic"
166097,"fantasy, paranormal"
60252,"comics, graphic"
498312,non-fiction
158823,romance
38329,young-adult
180896,"mystery, thriller, crime"
62836,"comics, graphic"
6193,young-adult
69036,"mystery, thriller, crime"
167897,"fantasy, paranormal"
157957,"fantasy, paranormal"
36709,"history, historical fiction, biography"
133484,non-fiction
67642,young-adult
8023,non-fiction
